Rank,Company,Signal,Category,Severity,Status,Source,Date,Evidence,A&M_Service_Line,Confidence
1,Dixon,Loncheer PN3 Approval Timeline Uncertainty,Execution Risk,Critical,Ongoing,Q2 FY26 Earnings,2025-10-17,PN3 approval required for 74:26 JV; management notes approval 'highly confident but not contingent on business'; delay would shift production from Q2 to Q2-Q3 FY27,Transaction Advisory,Verified
2,Dixon,Mobile PLI Benefit Expiration (March 2026),Regulatory/Policy,Critical,Monitoring,Q2 FY26 Earnings; Sovrenn MD,2026-02-14,Mobile PLI benefits ₹150-200 Cr annually; expiration March 26 with no guaranteed extension; government discussions ongoing,PEPI,Verified
3,Dixon,JV Execution Complexity (4 Simultaneous Launches),Operational,Critical,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,HKC facility trials Q4 FY26; Loncheer production shift risk; Q Tech integration; Inventec facility operational Q1 FY27; compressed timeline,Turnaround,Verified
4,Dixon,Component JV Margin Credibility (Q Tech; HKC; Loncheer),Profitability,High,Planning,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Management guidance: 6.5-7.5% EBITDA target for components; admits difficulty putting specific numbers; startup costs compress margins FY26-27,PEPI,Verified
5,Dixon,Customer Concentration - Vivo Dependency,Market Risk,High,Ongoing,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Vivo represents large % of mobile volumes (estimated 20-30%); new ODM customer discussions ongoing; Loncheer diversification critical,CDD,Verified
6,Dixon,Mobile Volume Growth Guidance Confidence (55-60M FY27),Execution,High,Pending,Q3 FY26 Earnings,2026-01-29,Management notes 'slightly difficult' to commit to 55-60M guidance; near-term headwinds; large base effect; Vivo partnership push critical,CDD,Verified
7,Dixon,HKC Display Facility Trials & Production Ramp,Execution,High,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Facility construction on track; trials Q4 FY26; production start Q1 FY27; delays would compress FY27 revenue 5-10%,Turnaround,Verified
8,Dixon,New ODM Customer Ramp-Up (Q4 FY26),Market,High,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Large ODM for smartphone; targeting 0.5M units/month by Q4 FY26; details under NDA; timeline slip risk,CDD,Estimated
9,Dixon,Memory Chip Price Inflation Impact,Cost Pressure,High,Ongoing,Q3 FY26 Earnings,2026-01-29,Memory prices sharply up last 2 quarters; expected further increases mid-2026; direct cost impact; no margin mitigation in B2B model; customers expecting price increases,PEPI,Verified
10,Dixon,US Telecom Backhaul Customer Win Execution,Revenue,High,In Progress,Q2 & Q3 FY26 Earnings,2025-10-17; 2026-01-29,Large US telecom customer for complex microwave radios; pilot Dec FY26; commercial production Q4 FY26; if successful: ₹500 Cr+ annual opportunity; if delayed: growth miss,CDD,Verified
