Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Source Document,Line Reference
1,Industry vs Company Growth,Board pre-authorized minimum director remuneration in case of absence/inadequacy of profits for FY 2025-26,Negative,FY26 (full year),Critical,"Explicit Board-level admission that the company expects full-year FY26 losses or inadequate profits. In A&M context, this is a governance-level distress signal — the highest possible alert short of debt default or insolvency filing.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Governance Alerts Section
2,Cost Structure,Q3 FY26 standalone operating loss: PBT before exceptional -Rs. 20.28 crores (vs +Rs. 20.27 crores in Q3 FY25),Negative,Q3 FY26 (Oct–Dec 2025),Critical,"Revenue has fallen below the break-even cost structure threshold. A quarterly operating loss in a business previously generating Rs. 170 cr annual PBT signals fundamental P&L deterioration, not a one-quarter blip.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Cost Structure Section — Q3 FY26 P&L Table
3,Cost Structure,9MFY26 standalone PBT before exceptional: -Rs. 35.57 crores vs +Rs. 98.43 crores in 9MFY25 — swing of Rs. 134 crores,Negative,9 months ended Dec 2025,Critical,"A Rs. 134 crore PBT reversal in nine months, sustained across three quarters, confirms structural deterioration rather than seasonal disruption. A&M restructuring mandate is highly plausible at this scale.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Cost Structure Section — Q3 FY26 P&L Table
4,Industry vs Company Growth,9MFY26 revenue -9.7% YoY: Rs. 3210 crores vs Rs. 3553 crores in 9MFY25,Negative,9 months ended Dec 2025,Critical,"Revenue destruction at -9.7% over nine months in a company with thin margins (<3% PAT) is existential — fixed costs do not compress proportionately. Signals systemic demand loss and possible market share erosion.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 1 — Industry vs Company Growth Table
5,Governance & Leadership,MD & CEO departed and COO Consumer Products departed simultaneously; new MD Sanjay Sachdeva appointed March 2025,Negative,FY25–FY26 transition,Critical,"Dual senior leadership exit during a business stress period creates strategy discontinuity and execution vacuum. Consumer Products — the Rs. 3806 cr segment — lost both its segment head and company CEO in the same cycle, maximum execution risk.",Annual Report FY2024-25 (86th Annual Report),Section 12 — Governance and Leadership
6,Capacity Utilization,Consumer Products capacity utilization at 43%: 10.8 Mn units installed vs 4.6 Mn units produced in FY25; with 9MFY26 revenue down 9.7% utilization likely below 40%,Negative,FY25 and FY26,Critical,"43% utilization creates severe fixed-cost absorption failures. Every unit of revenue decline in FY26 compounds the loss — manufacturing overhead is now destroying, not creating, value. Classic turnaround restructuring trigger.",Annual Report FY2024-25 (86th Annual Report),Section 3 — Capacity Utilization; Lines 78–80
7,Operational Intelligence,Exceptional item Rs. 28.89 crores booked for gratuity and leave encashment in Q3 FY26 — silent workforce restructuring in progress,Negative,Q3 FY26,Critical,"Exceptional provisioning for gratuity/leave encashment without public restructuring announcement indicates covert headcount reduction or field force rationalization. A&M would view this as management acknowledging a workforce cost problem while not communicating the full restructuring thesis.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 12 — Governance Alerts; Q3 FY26 P&L Table
8,Cost Structure,Other expenses surged +17.5% in Q3 FY26 (Rs. 215.4 crores vs Rs. 183.2 crores in Q3 FY25) despite a -5% revenue decline in the same quarter,Negative,Q3 FY26,High,"Cost escalation in the opposite direction of revenue is the classic fixed-cost spiral. Rs. 32 crore incremental expense against Rs. 55 crore revenue decline in a single quarter signals the company has lost cost control and is not executing variable-cost adjustments fast enough.",Board Meeting Outcome Q3 FY26 (Feb 9 2026),Section 5 — Cost Structure; Q3 FY26 P&L Table
9,Retail Footprint,Retailer base declined -15%: from 2 lakh+ (FY24) to approximately 1.7 lakh (FY25),Negative,FY24–FY25,High,"A 30000-outlet decline in retail coverage is a structural market share erosion signal. FMEG growth is driven by last-mile retailer density; losing 15% of outlets means reduced product availability, reduced impulse purchase frequency, and ceding shelf space to competitors.",Annual Report FY2024-25 (86th Annual Report),Section 11 — Retail Footprint Table
10,Retail Footprint,Channel partner retention at 81%: 1 in 5 partners did not renew in FY25,Negative,FY25,High,"An 81% retention rate in a FMEG distribution context indicates channel dissatisfaction — likely driven by margin pressure, competitive alternatives, or execution failures. Losing 19% of channel partners is a demand-generation structural risk that compounds revenue decline in FY26.",Annual Report FY2024-25 (86th Annual Report),Section 11 — Retail Footprint
