Signal_ID,Category,Indicator,Signal_Title,Evidence_Summary,Source,Severity,Severity_Rank,AM_Rationale
1,Risk,Cost Structure,Commodity Cost Inflation — Material Margin Erosion 150 bps,"Standalone Q3 FY26 material margin contracted 150 bps YoY (31.1% vs 32.6%); consolidated -100 bps (32.2% vs 33.2%). Copper, aluminium, steel all under pressure. 9M FY26 material margin -50 bps consolidated. EBITDA compressed to 9.6% (9M FY26) from 10.9%.",Q3 FY26 Investor Presentation (BSE); Q3 FY25 Press Release,High,1,"A&M: Input cost inflation is a primary margin lever. A 150 bps standalone material margin compression directly impacts profitability. With pricing actions of only 1-1.5%, the gap is not fully closed. If commodity prices remain elevated through FY27, EBITDA guidance recovery to 11%+ is at risk. UNNATI savings and multi-sourcing provide partial mitigation but are insufficient to offset the full headwind."
2,Risk,Industry Volume Growth,Fan Channel Inventory Overhang — Industry Volume Decline Q1 FY26,"Q1 FY26: Industry-wide ECD declined ~11%; Crompton declined ~8%. Ceiling fan channel inventory was building (management: 'there is fans inventory in the channel; it's beginning to clear'). Same channel carries fans, water heaters, air coolers, TPW — inventory blockage constrained adjacent category sell-through and channel working capital.",Q1 FY26 Earnings Call Transcript (BSE); Q3 FY26 Earnings Call,High,2,"A&M: Channel inventory overhang is a classic consumer durables operational risk. When the primary channel partner has excess inventory (fans), their ability to invest in adjacent categories (water heaters, SDA) is constrained — both financially (cash rotation) and physically (shelf space). This is a multi-category revenue risk. The Q1 FY26 fan season decline was weather-driven and may recur in FY27 if monsoon patterns persist."
3,Risk,Industry Volume Growth,PM-KUSUM Scheme Expiry (March 2026) — Solar Pump Revenue Risk,"Solar pump revenue has been significantly driven by PM-KUSUM government subsidy scheme (expiring March 2026). Management acknowledged this dependency and argued for farmer economics (2-2.5 year payback without subsidy). Industry was flat in Q1 FY26 on a subsidy-driven scheme year — without renewal or replacement, there could be a 2-4 quarter revenue gap as demand transitions from subsidy-driven to self-sustaining.",Q1 FY26 Earnings Call Transcript (BSE); Q3 FY25 Press Release,High,3,"A&M: Government subsidy dependency is a classic turnaround risk. FAME-1/FAME-2 EV precedent (management's own analogy) showed a temporary dip in demand when subsidies ended. If PM-KUSUM is not renewed or significantly reduced after March 2026, Crompton's solar pump revenue (which doubled to a top-3 position) faces an abrupt correction. Working capital intensity of government orders compounds the risk."
4,Risk,Gross Margin Strategy,9M FY26 EBITDA Margin Compressed to 9.6% — Multi-Quarter Weakness,"9M FY26 consolidated EBITDA: ₹557 Cr (9.6%) vs ₹634 Cr (10.9%) in 9M FY25 — a 130 bps decline. Revenue growth was effectively flat (+0.2% YoY). The combination of near-zero revenue growth + 130 bps margin compression represents a significant P&L deterioration from FY25's 11.66% EBITDA. PAT excluding exceptionals: ₹330 Cr (5.7% of revenue).",Q3 FY26 Investor Presentation (BSE),High,4,"A&M: A multi-quarter trend of simultaneous revenue stagnation and margin compression signals an operational challenge requiring structured intervention. In an A&M turnaround context, this would trigger a rapid cost structure review (UNNATI acceleration), pricing committee escalation, and portfolio rationalization review. The one-time Baroda VRS partially explains the exceptional charges, but the underlying EBITDA trajectory is a strategic concern."
5,Risk,Capacity Utilization,BLDC Demand Outpacing Supply — Missed Revenue in Fastest-Growing Premium Segment,"Management noted BLDC fan demand 'outweighing supply' in some areas in Q1 FY26; BLDC availability 'not yet pan-India'. Nucleus BLDC PCB platform launched November 2025 sold 1 lakh+ units. BLDC growing 50%+ QoQ in Q3 FY26. A supply-constrained high-growth premium segment represents direct revenue leakage.",Q1 FY26 Earnings Call Transcript (BSE); Q3 FY26 Investor Presentation,High,5,"A&M: Capacity constraints in a premium, fast-growing segment are a revenue and market share risk. If Crompton cannot supply BLDC fans to meet demand, competitors (Havells, Orient, Atomberg) gain shelf space and consumer trial. In the BLDC segment where Crompton is already #2 (targeting #1), supply gaps are a direct impediment to the stated strategic objective. Baddi plant expansion is underway but timeline to full scale matters."
6,Risk,Operational Intelligence,Butterfly Turnaround Below Aspiration — 3% Revenue Growth vs Double-Digit Guidance,"Butterfly Q3 FY26 revenue: ₹245 Cr (+3% YoY vs Q3 FY25's ₹238 Cr). Management guided 'double-digit growth this year' for FY26 but Q1 FY26 was single-digit and Q3 FY26 remained at 3%. National expansion from South India base is proving slow. EBITDA margin at 8.2% (+100 bps YoY) is improving but revenue momentum is insufficient for the turnaround narrative.",Q1 FY26 Earnings Call Transcript (BSE); Q3 FY26 Investor Presentation,High,6,"A&M: A 75%-owned subsidiary in a turnaround consuming management bandwidth and capital without achieving revenue targets is a significant portfolio risk. The gap between guidance (double-digit growth) and delivery (3% in Q3 FY26) in the 4th year post-acquisition (Crompton acquired Butterfly in 2022) suggests structural challenges in North/West expansion. EBITDA improvement trajectory is positive but margin without volume growth is a ceiling on absolute profit delivery."
7,Risk,Cost Structure,Employee Cost Inflation — +13.6% YoY Q3 FY26 vs Revenue Growth +7.3%,"Q3 FY26 consolidated employee cost: ₹170 Cr (+13.6% YoY vs Q3 FY25: ₹150 Cr). Revenue grew only 7.3% YoY in the same period. Employee cost inflation at nearly 2x revenue growth rate structurally degrades the EBITDA margin over time. Standalone permanent employees 1,893 (FY25); other-than-permanent 1,039.",Q3 FY26 Investor Presentation (BSE); BRSR FY25,Medium,7,"A&M: Employee cost outpacing revenue growth is a classic operational efficiency signal. At 8.13% of revenue (FY25) and rising, employee costs represent a meaningful EBITDA lever. The new category entries (solar rooftop, wires) and BCG GTM study are adding headcount before revenue materialises. A workforce productivity analysis (revenue per employee) would be warranted in a structured review."
8,Risk,Operational Intelligence,Solar Rooftop — ₹2000 Cr Revenue Target in 18-24 Months vs ₹19 Cr in Q3 FY26,"Management guided ~₹2,000 Cr solar rooftop revenue within 18-24 months (Q2 FY26 Investor Presentation). Current Q3 FY26 revenue: ₹19 Cr. Order book: ₹500 Cr (AP ₹445 Cr + Telangana ₹52 Cr), execution expected in 6-12 months. The gap between aspiration (₹2,000 Cr) and current delivery (₹19 Cr/quarter) is enormous; requires 25x+ scale-up. Working capital intensity of large institutional solar orders is significantly higher than consumer durables. Government payment cycles (AP/Telangana electricity departments) carry execution risk.",Q2 FY26 Investor Presentation; Q3 FY26 Earnings Call Transcript (BSE),Medium,8,"A&M: The ₹2,000 Cr solar rooftop revenue aspiration is transformative (25%+ of current annual revenue) but represents an enormous execution challenge from a ₹19 Cr base. Government counterparty risk (AP/Telangana payment delays), SITC completion timelines, and milestone-based revenue recognition are execution risks. Positive: Crompton's track record in solar pumps (₹372 Cr cumulative executed; 12,000+ units; 60 MW) provides institutional execution credibility. A&M would recommend dedicated project PMO, cash flow monitoring, and conservative working capital provisioning for this business."
9,Risk,Pricing Strategy,Lighting B2C Price Erosion — Structural Margin Headwind in #3 Position,"LED B2C (bulbs, battens) prices continue to erode structurally due to commoditization and Chinese imports. Crompton sustained 3% revenue growth in Q3 FY25 lighting despite this headwind (via B2B panels pivot), but is a structural headwind. Panels now the largest segment but pricing is also competitive. Crompton holds #3 market share in a category under sustained price pressure.",Q3 FY25 Press Release; Q1 FY26 Earnings Call Transcript,Medium,9,"A&M: Structural price erosion in a core segment erodes the revenue base over time. The B2B panels/outdoor pivot is the right strategic response, but the transition takes multiple years to fully offset B2C volume decline. If pricing pressure accelerates in B2B panels (as Chinese panel imports intensify), Crompton's lighting segment EBIT could deteriorate further. The #3 position provides limited pricing power."
10,Risk,Operational Intelligence,New Category Proliferation Risk — Simultaneous Bets Without Phased Sequencing,"Crompton is simultaneously entering: (1) solar rooftop, (2) residential wires, (3) scaling solar pumps — while managing BEE 2.0 fan transition, Butterfly brand refresh, Baroda restructuring, BCG GTM study, and ₹350 Cr greenfield planning. A company generating ₹550-900 Cr EBITDA annually has finite management bandwidth and capital. No phased sequencing or resource allocation framework is publicly disclosed.",Q3 FY26 Earnings Call Transcript; Q1 FY26 Earnings Call Transcript,Medium,10,"A&M: Portfolio diversification into multiple new categories simultaneously is a classic turnaround caution flag. Each new category requires dedicated P&L ownership, distribution investment, working capital, and management focus. The risk is strategic fragmentation — no single new category achieves the scale required to be a meaningful EBITDA contributor while individually draining overhead. An A&M review would recommend explicit category sequencing with financial gates."
