Rank,Company,Signal,Category,Severity,Status,Source,Date,Evidence,A&M_Service_Line,Confidence
1,Whirlpool of India,Reported PBT collapsed despite operational EBITDA surge,Financial Performance,Critical,Active,Q3 Presentation & BSE Filings,2026-02-12,Reported PBT -44% to ₹33 Cr but operational EBITDA +47% and PBT before excep. +21% - one-time ₹39 Cr wage code provision masks underlying strength,PEPI/CDD,Verified
2,Whirlpool of India,One-time wage code statutory liability of ₹39-40 Cr,Compliance & Regulatory,Critical,Materialized,Board Minutes & Financial Disclosures,2026-02-06,₹39 Cr provision recognized in Q3 FY25-26 results for minimum wage code compliance liability,PEPI/Turnaround,Verified
3,Whirlpool of India,Parent company (Whirlpool Corp) equity stake reduction from 51% to ~40% with further reduction target of ~20%,Strategic & Governance,Critical,In Progress,SEBI Regulation 30 Filings,2025-11-28,Whirlpool Corp sold 11% stake in Nov 2025 (~$166M proceeds); further reduction to ~20% planned by mid-late 2025; below 26% threshold = loss of control minority,Transaction Advisory,Verified
4,Whirlpool of India,Multiple GST ITC disallowance disputes across states with >₹15 Cr contingent liability,Regulatory & Tax,High,Ongoing,SEBI Regulation 30 Filings,2025-02-28 / 2025-01-28,Ghaziabad ₹2.09 Cr ITC + penalty; Bihar ₹1.33 Cr ITC + interest + penalty; Pune ₹0.11 Cr; Chandigarh ₹0.22 Cr - all under appeal; company states no material impact but assessment outcomes uncertain,PEPI/Turnaround,Verified
5,Whirlpool of India,Income Tax Department assessment order for AY 2019-20 with ₹6.17 Cr demand,Regulatory & Tax,High,Ongoing,SEBI Regulation 30 Filing,2025-03-28,Assessment order for disallowance of expenses under Section 147/156 IT Act; company response and litigation status ongoing,Turnaround,Verified
6,Whirlpool of India,Customs duty differential assessment of ₹9.38 Cr (already accrued by June 2023),Regulatory & Tax,High,Under Review,SEBI Regulation 30 Filing,2025-12-25,Office of Commissioner of Customs (NS-V) order dated Dec 12, 2025; company already paid/accrued amount; evaluating appropriate action (likely appeal),Turnaround,Verified
7,Whirlpool of India,Structural wage inflation creating ongoing cost pressure despite P4G program,Cost Structure,High,Structural,Q3 Presentation & Financial Results,2026-02-12,₹39 Cr one-time wage code provision indicates significant wage liability; wage inflation 8-12% annually in manufacturing is structural headwind; P4G delivering 320 bps GM expansion so far but offset capacity unclear,PEPI,Verified
8,Whirlpool of India,Revenue growth anemic at ~4% in Q3 despite market leadership,Financial Performance,High,Active,Q3 Presentation & Financial Disclosures,2026-02-12,Consolidated revenue +4% YoY in Q3 25-26; preceded by -3.8% (Q2) and -2.6% (Q1); 9-month revenue -1% YoY; industry described as weak,CDD,Verified
9,Whirlpool of India,Industry volume growth described as weak with mid single digit to flatish growth,Market & Competitive,High,Structural,Q3 Presentation,2026-02-12,Industry volume growth characterized as weak in H1 FY25-26; recovery to festival season (Q3) but structural headwinds remain; company capturing share but market growth constrained,CDD/PEPI,Verified
10,Whirlpool of India,Competitive pricing and promotions industry-wide affecting profitability,Market & Competitive,High,Structural,Q3 Presentation & MD Filing,2026-02-12,Company explicitly notes industry-wide competitive pricing and promotions; company defending pricing through premiumization but value segment vulnerable,PEPI/CDD,Verified
