Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Source Document,Line Reference
1,Gross Margin Strategy / Pricing Strategy,"The annual scheme payout, including consumer finance and scheme of service stands at Rs. 1,500 crores up to 31 March 2025.",Negative,FY25,Critical,"Channel incentive payout of INR 1,500 crores is approximately 30% of standalone revenue — a structural hidden cost not visible in standard P&L; scope for significant margin recovery through scheme rationalization.",Q2 FY26 Transcript (INVESTOR_ANALYST),"Page 2"
2,Retail Footprint / Distribution,"This process is weak in IFB. This process has to be strengthened... Now I know we have said this quarter-after-quarter, year-after-year, but it has not happened the way it should happen. (Chairman on counter-level execution)",Negative,FY23–FY26,Critical,"Chairman's own multi-year admission of persistent execution failure in sales distribution is the single most revealing governance signal; systemic management capability gap driving stagnant core revenue.",Q4 FY25 Transcript (INVESTOR_ANALYST),"Page 9"
3,Gross Margin Strategy,"EBITDA, as I said, our internal thing is 10%... We have not achieved it, is another point.",Negative,FY24–FY26,Critical,"PBDIT running at 6.5% vs 10%+ internal target — structural margin gap of 350+ bps on INR 5,000 crore revenue base implies INR 170+ crores annual under-delivery; primary A&M engagement trigger.",Q4 FY25 Transcript (INVESTOR_ANALYST),"Page 12"
4,Cost Structure Strategy,"Material cost growing +19.7% YoY (INR 2,513.85 crores FY25 vs INR 2,099.77 crores FY24) against revenue growth of +14.6% — structural margin compression.",Negative,FY24–FY25,Critical,"Material cost outpacing revenue growth is the primary EBITDA margin suppressant; closing this spread is the core mandate for the A&M engagement; signals procurement and supplier management weakness.",AR 2024-25 (INTEGRATED_GOVERNANCE),"Notes 23–29, Lines 19740–20110"
5,Operational Intelligence,"Alvarez & Marsal has been given the mandate to reduce material cost – work began in February, 2025 – our team is working with them on various ideas for cost down with an expected savings of more than ₹200 Crores over 18 months period.",Watch,FY25–FY27,Critical,"A&M engagement formally disclosed in AR confirms scale of internal cost failure; savings target of INR 200+ crores in material cost alone signals deeply embedded inefficiency across procurement and BoM; internal approach acknowledged as insufficient.",AR 2024-25 (INTEGRATED_GOVERNANCE),"Lines 232–236"
6,Gross Margin Strategy,"Washer revenue: stagnant at ₹1,700-1,800 crores for 2-3 years.",Negative,FY22–FY25,Critical,"Core revenue line — the highest-margin legacy category — has delivered zero growth for 3 years; directly linked to management execution gaps; structural threat to company's revenue base and overhead absorption.",Q4 FY25 Transcript (INVESTOR_ANALYST),"Page 15"
7,Retail Footprint / Market Share,"The region where we were historically strong but now weak because of manning issues is South. And South is the largest market.",Negative,FY24–FY26,Critical,"IFB is losing ground in South India — its historically strongest region and India's largest appliance market — due to management vacancies; represents a compounding structural market share erosion risk.",Q4 FY25 Transcript (INVESTOR_ANALYST),"Page 10"
8,Cost Structure Strategy,"Ancillary cost growing +31.5% YoY — ₹138.68 crores (FY25) vs ₹105.47 crores (FY24) — fastest growing cost line; outpacing revenue by 17 percentage points.",Negative,FY24–FY25,High,"Ancillary cost at +31.5% is the fastest-growing cost line in the P&L and has doubled in 5 years per investor comment; structural operational cost inflation signal requiring immediate investigation and containment.",AR 2024-25 (INTEGRATED_GOVERNANCE),"Notes 29, Lines 20050–20110"
9,Operational Intelligence,"Revenue from operations for the year was ₹101.90 cr which is a decrease of 18% from last year, primarily due to our customers transitioning from universal motors to BLDC motors. The division has incurred losses of ₹5.75 crores at the PBDIT level for FY 2024-25, compared to a loss of ₹0.61 crores in the previous year. (Motor Division)",Negative,FY24–FY25,High,"Motor Division losses nearly 10x in one year driven by technology transition mismanagement; BLDC commercial delays create a widening loss trough; risk of becoming a permanent P&L drag without structural intervention.",AR 2024-25 (INTEGRATED_GOVERNANCE),"Motor Division Section"
10,Localization Strategy,"Key components used in the manufacture of the division's critical products — such as compressors, copper tubes, electronic parts, and inverter drives — are sourced from overseas suppliers. Any disruption in these supply chains due to geopolitical tensions, the introduction of non-tariff barriers, or a global event restricting imports could significantly affect the Division's ability to import materials.",Negative,FY25,High,"Structural import dependency in high-cost critical components creates margin vulnerability (currency risk) and supply chain disruption risk; compressors and copper tubes are the highest-cost imported items with no disclosed localization timeline.",AR 2024-25 (INTEGRATED_GOVERNANCE),"Lines 3082–3084"
