Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Evidence (Verbatim),Source Document,Line Reference
1,Gross Margin Strategy – EBITDA Profitability,EBITDA margin collapsed to 2.94% in FY24 — down from 9%+ in FY21 — representing the most severe profitability stress point in the dataset before partial recovery,Negative,FY24,Critical,"Near-breakeven EBITDA signals structural cost-price misalignment and/or top-line collapse; strongest profitability distress signal in the dataset; a sub-3% EBITDA margin on Rs.931Cr revenue is a prime A&M intervention trigger requiring cost structure and pricing diagnostics","FY24 EBITDA 2.94%; FY25 7.55%; Q2 FY26 9.5%. Operating profitability has increased due to improved margins and optimisation of all spends | Auxiliary categories declined as we took a calibrated approach towards product portfolio and trade spending to enhance profitability.",INTEGRATED_GOVERNANCE (AR FY24; AR FY25 MD&A),"Section 4 – Pricing Strategy and Commodity Cost Impact, Line 103; Section 6 – Gross Margin Strategy, Line 185"
2,Cost Structure Strategy – Commodity Dependency,"Steel — the largest direct material input — has NO alternate vendor; single-source concentration risk explicitly acknowledged in the risk management section with no remediation timeline disclosed",Negative,FY23–FY25 (ongoing),Critical,"Largest direct cost input with zero supply chain redundancy; any supplier disruption or price shock has no mitigation buffer; structural fragility that A&M would flag as Priority 1 supply chain remediation in any turnaround engagement","Alternative vendor development and structured share of business implemented for high-value procurement (except Steel).",INTEGRATED_GOVERNANCE (AR FY23 Risk Management),"Section 5b – Commodity Dependency, Line 149"
3,Industry vs Company Growth – Revenue Trajectory,Revenue declined from FY23 peak of Rs.1057 Cr to Rs.865 Cr in FY25 — a cumulative decline of 18% over 2 years — against a stated intent to expand pan-India market share,Negative,FY23–FY25,Critical,"Sustained multi-year revenue contraction erodes scale economics, distributor ROI, and channel confidence; even if partly intentional, 18% revenue loss risks becoming structural if recovery stalls beyond core categories","In the fiscal year, the company reported a revenue of H 86,450.15 Lakhs compared to H 93,128.25 Lakhs in the previous year. | Revenue peaked at Rs.1,057 Cr (FY23), then declined to Rs.865 Cr (FY25) amid strategic reset.",INTEGRATED_GOVERNANCE (AR FY23; AR FY25 MD&A),"Section 1 – Industry vs Company Growth, Lines 22-24; Section 6 – Gross Margin Strategy, Line 185"
4,Market Share Trend / Retail Footprint – Geographic Concentration,"~75–76% of total revenue concentrated in South India; pan-India market share only ~5% versus ~15% in South; geographic concentration creates structural demand vulnerability",Watch,FY23 onwards,High,"Single-region dependency magnifies impact of regional demand shocks, competitive inroads in South, and limits scale leverage for fixed cost recovery; pan-India gap requires investment at a time of constrained operating cash flows","Current market shares approx. 5% (Pan India) and approx. 15% in South India. | Leveraging its position as an integrated kitchen appliance manufacturer... target high-potential markets in the North and Western regions by utilising the distribution and branding synergies gained from Crompton Greaves Consumer Electricals Limited.",INTEGRATED_GOVERNANCE (AR FY23 Risk Management; AR FY25 MD&A),"Section 8 – Market Share Gain/Loss Trends, Line 249; Section 11 – Retail Footprint / Distribution, Line 351"
5,Operational Intelligence – Structural / Governance Risk,"Scheme of Amalgamation with Crompton Greaves Consumer Electricals Limited approved March 2023 and ongoing; integration complexity, governance transition, and cultural reset simultaneously underway alongside financial recovery",Watch,FY23–FY26 (ongoing),High,"Merger integrations are high-execution-risk events; concurrent turnaround and integration increases failure probability; governance reset while profitability is under pressure is a textbook A&M engagement scenario requiring integration management office and PMO oversight","Both the Companies have approved the Scheme of Amalgamation in March 2023, which will result in the consolidation of their respective businesses and operations. | Strategic interventions aimed at driving business revival — revised pricing structure, improved management of trade spends, shift in marketing strategies, focus on enhancing commercial hygiene.",INTEGRATED_GOVERNANCE (AR FY23),"Section 2 – Operational Intelligence, Line 48; Line 58"
6,Pricing Strategy and Commodity Cost Impact – Commodity Cycle Vulnerability,"Material costs surged 73% in 9M FY22 (Rs.233.2 Cr to Rs.402.9 Cr), compressing gross margin from 42.1% to 38.8%; no commodity hedging policy disclosed in any document",Negative,FY22,High,"Demonstrated structural vulnerability to commodity cycles with no disclosed hedging or pass-through mechanism; recurring risk that caused near-critical profitability stress in FY22 and cascaded into the FY24 EBITDA collapse; A&M would mandate a hedging and procurement resilience programme","Gross Margin lower due to steep increase in raw material prices | Cost of Materials Consumed 9M FY22: Rs.402.9 Cr vs Rs.233.2 Cr in 9M FY21 (+73%)",INVESTOR_ANALYST (Q3 FY22 Investor Presentation),"Section 4 – Pricing Strategy and Commodity Cost Impact, Lines 109–111"
7,Gross Margin Strategy – Channel Architecture – Rural Demand,"Suppressed demand in the micro-finance institutions (MFI) channel explicitly cited as a headwind in FY25; rural demand vulnerability remains unmitigated with no structural alternative identified",Negative,FY25 (ongoing),High,"MFI-linked rural demand represents a macro-driven structural headwind outside management control; signals a ceiling on volume recovery in lower-income segments and limits the addressable market for top-line growth restoration","suppressed demand in the micro-finance institutions (MFI) channel | The improved performance in the year's second half reflects our efforts to stabilise our business and our ambition to grow in a vastly competitive market.",INTEGRATED_GOVERNANCE (AR FY25 MD&A),"Section 6 – Gross Margin Strategy – Channel Architecture, Line 203; Strategic Signals Summary – Key Risks, Line 350"
8,Gross Margin Strategy – Portfolio Risk,"Auxiliary product categories deliberately declined in FY25 as part of portfolio rationalization; SKU reduction eliminates revenue diversification and reduces buffer against core category deceleration",Negative,FY25,High,"Concentration in 4 core categories after auxiliary cut increases revenue volatility; if core category growth decelerates, there is no revenue buffer; A&M would stress-test single-category dependency and model downside scenarios","Auxiliary categories declined as we took a calibrated approach towards product portfolio and trade spending to enhance profitability. | Key categories delivered moderate growth in H2, although auxiliary categories saw big decline in FY2024-25.",INTEGRATED_GOVERNANCE (AR FY25 MD&A),"Section 6 – Gross Margin Strategy – Volume vs Margin, Lines 187–188"
9,Market Share Trend – Pan-India Penetration Gap,"Pan-India market share is only ~5% despite being #1 in SS LPG Stoves and TTWGs; illustrates severe geographic and category-level market penetration gap requiring significant capital and channel investment to close",Watch,FY23,High,"Sub-5% pan-India market share in a fragmented growth market signals underscaled distribution and brand penetration nationally; capital required to close this gap is significant at a time of constrained operating cash flows and ongoing merger integration","Current market shares approx. 5% (Pan India) and approx. 15% in South India. | 5-year strategic plan defined on Channel expansion and Marketing interventions.",INTEGRATED_GOVERNANCE (AR FY23 Risk Management),"Section 8 – Market Share Gain/Loss Trends, Line 249"
10,Capacity / Plant Utilization – Excess Capacity Signal,"Company consolidated the operations of one plant into the main plant in FY25; implies underutilization and excess manufacturing capacity relative to current revenue base — 18% below FY23 peak",Watch,FY25,Medium,"Plant consolidation signals excess capacity created during growth years, now stranded on a lower revenue base; A&M would assess stranded asset value, fixed cost absorption at current volumes, and optimal footprint redesign","Consolidated the operations of one plant into the main plant, which has helped to improve efficiency and reduce costs.",INTEGRATED_GOVERNANCE (AR FY25 MD&A),"Section 3 – Capacity / Plant Utilization, Line 73"
