Rank,Indicator,Signal,Status,Time Period,Severity Level,Severity Rationale,Evidence (Verbatim),Source Document,Line Reference
1,Capacity Utilization,"Cables operating at 90-100% capacity utilization — binding supply constraint limiting market share gains in largest revenue segment (33% of revenue)",structural_risk,FY24-FY27,Critical,"Supply-constrained in the company's largest revenue segment directly caps growth and market share. Capacity doubling is underway but execution risk is high on a Rs 1,450 Cr FY26 capex program. A&M opportunity: capex execution advisory, capacity ramp optimization.","Wires: capacity utilization 65-70%; Cables: 90-100% capacity utilization | Cables: domestic wires share intact; cables lagging because waiting for full capacity | Capex: Rs 798 crores (FY25); Planned Rs 1,450 crores (FY26), Rs 1,000 crores (FY27)",Q3 FY26 Transcript; Annual Report FY25,Section 3
2,Cost Structure — Commodity Dependency,"Cables (33% of revenue) directly commodity-linked to copper at Rs 13,000/ton with continuous price increases and lagged pass-through creating margin timing risk",structural_risk,Q3 FY26,Critical,"One-third of revenue has direct copper exposure with lagged pass-through. Contribution margin target of 14-15% is narrow. Commodity spikes can compress margins before price recovery. A&M opportunity: commodity hedging strategy, margin protection advisory.","Copper at Rs 13,000/ton (Jan 2026); continuous price increases; passes on to market over time | Cables contribution margin target: 14-15% (Q1 was 16%) | Cables & wires contribution margin: 15-16% is right range to assume",Q3 FY26 Transcript; Q1 FY26 Transcript; Q2 FY26 Transcript,Section 5b
3,Gross Margin Strategy — Revenue Mix,"Fastest-growing segment (Lloyd at 35.3% growth) is also lowest-margin (2.6%) creating structural portfolio mix headwind on blended margins",structural_risk,FY25,Critical,"Revenue mix shifting toward lowest-margin segment erodes blended profitability even as individual segments improve. At 23.6% of revenue and growing fastest, Lloyd's margin trajectory determines group-level margin expansion. A&M opportunity: Lloyd margin acceleration, portfolio mix optimization.","Lloyd revenue grew 35.3%; segment margin improved from -4.3% to 2.6% | Revenue mix percentages (Annual Report)",Annual Report FY25,Section 6d
4,Strategic Signals — Key Risk #6,"Lloyd still at 2.6% margin — any demand disruption could push it back toward losses; brand building and distribution investment is ongoing cost",structural_risk,FY25-FY26,Critical,"Lloyd accounts for 23.6% of revenue at razor-thin 2.6% margin with ongoing brand/distribution investment overhead. A bad season or demand shock could push segment back into losses, dragging group EBITDA. A&M opportunity: Lloyd breakeven resilience modeling, downside scenario planning.","Lloyd: Structurally on right path, margin improvement significant even in weak quarter",Q1 FY26 Transcript,Strategic Signals — Key Risks #6
5,Strategic Signals — Key Risk #1,"Seasonality and weather dependence: weak summer in Q1 FY26 caused YoY decline in cooling products — single-season products create binary outcomes",negative,Q1-Q2 FY26,High,"Cooling products (ACs, fans, coolers) have concentrated seasonal demand. A single weak summer causes YoY revenue declines across multiple segments. Creates earnings volatility and channel inventory build-up. A&M opportunity: demand planning, seasonal risk mitigation.","Fans: mid-single digit degrowth | FMEG category: Cycles exist but India demographics support long-term demand; regional brands gaining some ground in hyperinflationary periods",Q2 FY26 Transcript; Q3 FY26 Transcript,Strategic Signals — Key Risks #1
6,Direct vs Indirect Costs,"Switchgears margin compressed from 26.5% to 22.5% — 400bps erosion in highest-margin segment",negative,FY25,High,"Switchgears is the highest-margin segment and margin compression of 400bps in this profit anchor signals cost pressure or competitive dynamics that warrant investigation. A&M opportunity: switchgear margin recovery advisory.",Segment-wise margin data from Annual Report (see table above),Annual Report FY25,Section 5a
7,Strategic Signals — Key Risk #3,"Channel inventory build-up: elevated inventories in Q2 FY26 for cables and Lloyd required tactical promotional schemes — recurring risk in multi-brand multi-category model",negative,Q2 FY26,High,"Elevated channel inventory required margin-consuming promotional schemes. Recurring pattern in a 6-brand, 20-category, 20K+ SKU model. A&M opportunity: inventory management optimization, demand-supply balancing.","Consumer schemes for Lloyd to clear inventory (above contribution margin); now withdrawn post GST changes | Higher channel inventories - working closely with channel to normalize by Q3",Q2 FY26 Transcript,Strategic Signals — Key Risks #3
8,Cost Structure — Employee Cost,"Attrition rate at 20.7% despite 5-year talent pipeline investment",negative,FY25,High,"Elevated attrition in a company that has invested 5 years in building talent pipeline suggests retention challenges. With 7,117 employees and 1,836 new hires in FY25, replacement cost is significant. A&M opportunity: talent retention strategy, organizational effectiveness.","Attrition rate: 20.7%; Employees 5+ years: 32% | Total employees: 7,117; New hires: 1,836",Annual Report FY25,Section 5c
9,Strategic Signals — Key Risk #5,"US export tariffs hitting cable exports; need to diversify export markets",negative,FY26,High,"Export revenue under tariff pressure with no disclosed diversification plan. Cables is the largest segment (33% of revenue). A&M opportunity: export market diversification strategy, tariff mitigation.","US export tariffs hitting cable exports",Q3 FY26 Transcript,Strategic Signals — Key Risks #5
10,Strategic Signals — Key Risk #8,"Exceptional provisions: Rs 45 crores provisioning for new labour codes in Q3 FY26 indicates potential recurring compliance costs",negative,Q3 FY26,High,"Rs 45 Cr one-time provision signals new regulatory compliance burden. If recurring, this represents ~2% of quarterly EBITDA. A&M opportunity: labour code compliance optimization, cost impact modeling.",Not Provided,Q3 FY26 Transcript,Strategic Signals — Key Risks #8
