Rank,Company,Signal,Category,Severity,Status,Source,Date,Evidence,A&M_Service_Line,Confidence
1,V-Guard Industries,Sunflame integration execution delays impacting margin recovery,Operational Integration,Critical,Ongoing,Q3 FY26 Earnings Call,2026-01-29,"CSD channel weakness, product refresh 18-month timeline with delays, e-commerce channel requiring separate stabilization (3-6 months). Current EBIT margin 3-7% vs 12% target in 2-3 years",Turnaround,Verified
2,V-Guard Industries,South India concentration limiting growth potential,Geographic Concentration,Critical,Ongoing,Investor Presentations,2026-02-28,"South market contributed 51.6% of H1 FY26 revenue with only 0.8% YoY growth; stabilizer market (core South strength) facing structural decline due to grid reliability improvements",PEPI,Verified
3,V-Guard Industries,Stabilizer market structural decline undermining core category growth,Market Dynamics,Critical,Ongoing,MD Commentary Q1-Q3,2026-01-29,"AC Stabilizer (50-55% of market) facing headwind; grid reliability improvements reducing stabilizer relevance; management expects continued pressure and diversification critical",Strategic Planning,Verified
4,V-Guard Industries,Gross margin vulnerability to copper price volatility,Cost Management,High,Ongoing,Q3 FY26 Presentation,2025-12-31,"House Wires business faces 20-30% price increase requirement from copper inflation; volume impact potential if pricing too aggressive; 40-50% of HWC cost is copper",Turnaround,Verified
5,V-Guard Industries,Labour code implementation increasing fixed costs,Cost Structure,High,Completed,Q3 FY26 Earnings Call,2026-01-29,"₹22.11 Cr one-time charge in Q3 FY26 for gratuity and leave encashment; ongoing labour costs incrementally higher post-implementation (estimated 0.2-0.5% of revenue annually)",Turnaround,Verified
6,V-Guard Industries,Revenue growth deceleration in FY26 vs historical guidance,Growth Trajectory,High,Ongoing,Investor Presentations,2026-02-28,"9M FY26 revenue growth only 4.2% YoY vs earlier 14-15% FY26 guidance withdrawn; Q1 showed 0.7% decline; weak summer season and GST transition cited",PEPI,Verified
7,V-Guard Industries,Profitability margin compression in 9M FY26 vs prior year,Profitability,High,Ongoing,Financial Results,2026-01-29,"9M FY26 EBITDA margin 8.5% vs 9.2% in 9M FY25 (-70 bps); PAT margin 4.7% vs 5.5% prior year (-80 bps); labour code charge and operational deleverage cited",PEPI,Verified
8,V-Guard Industries,Weak Consumer Durables segment performance impacting profitability,Segment Performance,High,Ongoing,Q2-Q3 FY26 Results,2025-12-31,"Consumer Durables revenue 9M FY26 down 7.9% YoY; segment margin only 1-4%; Fans heavily weather-dependent; Air Coolers segment (~₹140 Cr) hit hard by summer weakness",CDD,Verified
9,V-Guard Industries,Competitive intensity increasing in core categories,Competitive Dynamics,High,Ongoing,MD Commentary & Market Overview,2026-01-29,"Water Heaters: 20-30 entrants; Wires: Polycab and Finolex larger; Fans: Havells and Crompton expanding; private label (Amazon Basics, Flipkart) disrupting commodity segments",PEPI,Verified
10,V-Guard Industries,GST audit demands totaling ₹40+ Cr creating financial uncertainty,Regulatory Risk,High,Ongoing,SEBI Filings,2026-02-28,"Haldwani: ₹17.76 Cr; Gurgaon: ₹77.20 Cr; Gangtok: ₹20.70 Cr (dropped); Others: ₹1-2 Cr each. Company challenging based on 'strong grounds' but outcome uncertain",Transaction Advisory,Verified
