Company Name,Deal Date,Deal Type,Deal Description,Deal Value,Counterparty,Source URL,Source Name,Status
Whirlpool of India,Feb 2024,Stake Sale,"Whirlpool Corp sold 24% stake in Indian unit via block deal, reducing holding from 75% to 51%. Goldman Sachs advised on the deal.","$468M (~INR 3,800 Cr)",SBI MF / Aditya Birla Sunlife MF / Societe Generale (Buyers),https://www.businesstoday.in/latest/corporate/story/whirlpool-to-offload-24-india-stake-via-block-deal-report-418113-2024-02-19,BusinessToday,Completed
Whirlpool of India,Jun 2025,Stake Sale (Process),"Reliance Retail and Havells entered race to acquire 31% controlling stake in Whirlpool India. Later Havells stepped back. EQT and Bain Capital emerged as top contenders, then also withdrew.","~$550-600M (Target net proceeds)",Reliance Retail / Havells / EQT / Bain Capital (Bidders),https://www.business-standard.com/companies/news/reliance-havells-whirlpool-india-majority-stake-sale-us-parent-company-125062000225_1.html,Business Standard,In Process (Bidders withdrew)
Whirlpool of India,Sep-Dec 2025,Stake Sale (Failed),"Advent International entered exclusive talks to buy 57% controlling stake (31% direct + 26% open offer) in Whirlpool India for ~$1 billion. Deal collapsed in Dec 2025 over pricing disagreements.","~$1B (~INR 8,500 Cr)",Advent International,https://www.business-standard.com/companies/news/advent-s-1-bn-deal-talks-for-whirlpool-india-collapse-due-to-disagreements-125120600442_1.html,Business Standard,Failed
Whirlpool of India,Nov 2025,Stake Sale,"Whirlpool Mauritius sold 11.23% stake (1.42 Cr shares) in Whirlpool India at INR 1,045/share via bulk deal.",INR 1489.60 Cr,HDFC MF / Kotak MF / Franklin Templeton MF / ICICI Prudential Life / Societe Generale / East Bridge Capital (Buyers),https://www.outlookbusiness.com/news/whirlpool-india-promoter-entity-sells-1123-stake-for-1489-cr,Outlook Business,Completed
Whirlpool of India,Nov 2025,Stake Sale (Planned),"Whirlpool parent planning to sell another 7.5% stake at ~14% discount via block deal to further reduce India holding towards 20% target.",Undisclosed,Market (Block deal),https://www.businesstoday.in/markets/stocks/story/whirlpool-block-deal-parent-entity-to-sell-75-stake-at-14-discount-says-report-503894-2025-11-27,BusinessToday,Planned
Voltas,Feb 2025,Divestiture,"Voltas completed transfer of its 92% direct investment in Saudi Ensas Company for Engineering Services to Universal MEP Projects, Singapore.",INR 61.84 Cr,Universal MEP Projects Singapore,https://www.voltas.in/file-uploads/financial-snapshot/Annual-reports/VoltasAnnualReport2024-2025.pdf,Voltas Annual Report 2024-25,Completed
Voltas,Oct 2024,Govt Incentive (PLI),"Voltas among 38 applicants in 3rd round of PLI scheme for white goods (ACs & LED lights) with proposed investment commitments.",Undisclosed,Govt of India (DPIIT),https://www.business-standard.com/industry/news/voltas-among-38-applicants-in-pli-scheme-s-3rd-round-for-white-goods-124101400733_1.html,Business Standard,Applied
Voltas,Ongoing,JV (Existing),"Voltas Beko - 50:50 JV with Arcelik (Turkey) via Ardutch B.V. for consumer durables (refrigerators, washing machines, kitchen appliances). Sanand facility with 1M unit capacity.",JV Formation,Arcelik / Ardutch B.V. (Koc Group),https://en.wikipedia.org/wiki/Voltas,Wikipedia,Active
Blue Star,Oct 2024,Govt Incentive (PLI),"Blue Star among 38 applicants in 3rd round of PLI scheme for white goods with committed investment proposals for AC manufacturing value chain.",Undisclosed,Govt of India (DPIIT),https://www.business-standard.com/industry/news/voltas-among-38-applicants-in-pli-scheme-s-3rd-round-for-white-goods-124101400733_1.html,Business Standard,Applied
Crompton Greaves Consumer,Feb 2022,M&A (Majority),"Crompton acquired 55% stake in Butterfly Gandhimathi Appliances at INR 1,403/share. Also acquired Butterfly trademarks for INR 30.38 Cr. Launched mandatory open offer for additional 26% at INR 1,434/share.","INR 2,076 Cr (81% stake total)",Butterfly Gandhimathi Appliances Promoters,https://www.businesstoday.in/latest/corporate/story/crompton-greaves-consumer-to-buy-majority-stake-in-butterfly-gandhimathi-appliances-323572-2022-02-23,BusinessToday,Completed
Crompton Greaves Consumer,Oct 2023,M&A (Merger - Rejected),"Proposed merger of Crompton and Butterfly (swap ratio: 22 Crompton shares for 5 Butterfly shares). Public shareholders voted 72.61% against. Non-institutional investors voted 97% against. Merger rejected.",N/A,Butterfly Gandhimathi Appliances (Minority Shareholders),https://www.businesstoday.in/markets/company-stock/story/shareholders-reject-butterfly-gandhimathi-appliances-crompton-greaves-merger-404049-2023-11-01,BusinessToday,Rejected
Bajaj Electricals,Sep 2023,Demerger,"Bajaj Electricals demerged its power T&D (transmission & distribution) business into Bajel Projects Limited. Effective date: Sep 14, 2023. Bajel valued at INR 12,600M (INR 1,260 Cr).",INR 1260 Cr (Bajel Projects entity value),Bajel Projects Ltd (Resulting Company),https://www.bajajelectricals.com/scheme-of-arrangements/,Bajaj Electricals Investor Relations,Completed
