Executive_Name,Role,Type_of_Change,Effective_Date,Announcement_Date,Previous_Role_or_Replaced_Executive,Strategic_Context,Source_URL
Dipesh Amritlal Shah,CTO & President Havells Center for Research & Innovation,New Appointment,10-Feb-2025,Feb 2025,New role; previously MD at Samsung R&D Centre,"32+ years in embedded systems, wireless, on-device AI; to lead R&D in AI, IoT, smart home",https://www.marketscreener.com/quote/stock/HAVELLS-INDIA-LIMITED-17567316/news/Havells-India-Limited-Announces-Appointment-of-Dipesh-Amritlal-Shah-as-President-CTO-Havells-Cent-49005871/
Rakesh Rajput,Executive Vice President – Sales & Marketing (Cables),Resignation,11-Mar-2025,Mar 2025,Was EVP – Sales & Marketing Cables Division,Resigned for personal reasons after 21-year tenure at Havells,https://in.marketscreener.com/quote/stock/HAVELLS-INDIA-LIMITED-17567316/news/Havells-India-Limited-Announces-Resignation-of-Rakesh-Rajput-as-Executive-Vice-President-49301571/
Rakesh Moza,Executive Vice President,Resignation,30-Apr-2025,Apr 2025,Was Executive Vice President,Resigned from the position,https://www.marketscreener.com/quote/stock/HAVELLS-INDIA-LIMITED-17567316/news/Havells-India-Limited-Announces-Resignation-of-Rakesh-Moza-as-Executive-Vice-President-Effective-Ap-49840695/
Siddhartha Pandit,Whole-time Director,Re-appointment,29-May-2025 to 28-May-2028,Apr 2025,Continuing as WTD; heads Legal Department since 2015,Re-appointed for 3-year term; LEP from Harvard; 27+ years legal experience,https://www.bseindia.com/xml-data/corpfiling/AttachHis/bd4408d4-f56f-486d-a4b6-e3080e6ab395.pdf
Bontha Prasada Rao,Independent Director,Re-appointment (2nd term),Post 21-Jun-2025,2025,Continuing as Independent Director,Re-appointed for second 5-year term,https://havells.com/media/wysiwyg/PDF/Financial/Annual-Reports/2024-2025/Notice_of_AGM.pdf
Subhash S Mundra,Independent Director,Re-appointment (2nd term),Post 21-Jun-2025,2025,Continuing as Independent Director,Re-appointed for second 5-year term,https://havells.com/media/wysiwyg/PDF/Financial/Annual-Reports/2024-2025/Notice_of_AGM.pdf
Vivek Mehra,Independent Director,Re-appointment (2nd term),Post 21-Jun-2025,2025,Continuing as Independent Director,Re-appointed for second 5-year term,https://havells.com/media/wysiwyg/PDF/Financial/Annual-Reports/2024-2025/Notice_of_AGM.pdf
Preemita Singh,President & Chief Human Resources Officer,Elevation/Promotion,Aug-2025,Aug 2025,Was EVP & CHRO at Havells,Elevated to President & CHRO; 25+ years HR experience; previously CHRO at Hero FinCorp,https://www.hrkatha.com/people/movement/havells-india-elevates-preemita-singh-to-president-chro/
Pankaj Mohan Arora,Executive President – Finance,New Appointment,27-Oct-2025,Oct 2025,New role,"Ex-Russell Reynolds Associates and KPMG India Partner; CA with All India ranks; B.Com from SRCC",https://boardstewardship.com/havells-india-appoints-pankaj-mohan-arora-as-executive-president-of-finance/
Manjit Singh Sethi,President – Cables,New Appointment,15-Dec-2025,Dec 2025,Replaces Saurabh Goel (resigned Dec 2024),"35+ years electrical industry; ex-ABB India/Hitachi Energy, KEC International",https://www.businessupturn.com/business/corporates/havells-india-appoints-manjit-singh-sethi-as-president-cables/
Reshu Madan,President & SBU Head,New Appointment,Dec-2025,17-Dec-2025,New senior management role,"3 decades in power cables, EPC; previously CEO at Sterlite Power (7+ years)",https://hrtoday.in/reshu-madan-joins-havells-india-ltd-as-president-sbu-head/
Vikram Bector,Director – Group Human Capital & General Affairs,Resignation,31-Dec-2025,31-Dec-2025,Was Director – Group Human Capital & General Affairs,Resigned from the position,https://www.bseindia.com/xml-data/corpfiling/AttachHis/7ae4d602-f3d5-4dc8-94ab-971a0fbbe3a3.pdf
